Wall time,Step,Value
1658850309.257927,190,-2.290289878845215
1658850317.1762571,398,-2.889986991882324
1658850319.822541,464,-3.2595837116241455
1658850322.102549,544,-3.4996955394744873
1658850325.483457,638,-4.048477649688721
1658850337.904663,932,-5.004032135009766
1658850348.002329,1182,-6.3781232833862305
1658850354.7321448,1353,-7.288621425628662
1658850365.9304671,1668,-8.423988342285156
1658850371.3576362,1836,-9.555225372314453
1658850377.184101,1976,-9.762104034423828
1658850387.386671,2201,-11.189916610717773
1658850388.005332,2243,-11.677867889404297
1658850405.6314611,2662,-13.906700134277344
1658850414.346623,2881,-16.709674835205078
1658850609.204086,3483,-20.995115280151367
1658850612.515372,3595,-22.327171325683594
1658850618.208055,3706,-24.706453323364258
1658850620.2055192,3782,-24.606863021850586
1658850627.812644,3989,-27.238380432128906
1658850638.329161,4235,-29.055879592895508
1658850642.77163,4342,-30.743993759155273
1658850644.420286,4383,-30.902814865112305
1658850644.448451,4385,-29.897991180419922
1658850656.88356,4701,-34.54177474975586
1658850657.197047,4721,-32.106929779052734
1658850664.123753,4928,-34.94675064086914
1658850668.402876,5001,-32.887542724609375
1658850672.104667,5101,-37.071834564208984
1658850674.5242398,5191,-37.33810043334961
1658850692.542194,5677,-43.688323974609375
1658850696.53509,5779,-48.789710998535156
1658850698.951134,5843,-44.1338005065918
1658850711.598871,6155,-54.05051803588867
1658850717.74487,6342,-48.46719741821289
1658850722.24803,6435,-58.015201568603516
1658850725.502112,6508,-53.58635711669922
1658850728.7706392,6605,-54.75431823730469
1658850729.0538292,6625,-53.855125427246094
1658850732.903771,6709,-58.725494384765625
1658850733.308661,6737,-57.981719970703125
1658850734.5778959,6768,-61.855655670166016
1658850741.3417332,6963,-60.96180725097656
1658851019.538555,7116,-66.05538940429688
1658851024.932482,7272,-64.9931411743164
1658851035.187638,7553,-70.03821563720703
1658851035.472578,7573,-73.4810562133789
1658851049.992768,7967,-73.79940032958984
1658851052.035826,8043,-73.4864273071289
1658851052.107105,8048,-75.72412109375
1658851054.006847,8091,-77.07211303710938
1658851057.680675,8182,-78.97224426269531
1658851059.4232728,8222,-77.99960327148438
1658851064.648385,8366,-82.19652557373047
1658851068.1443179,8472,-80.93806457519531
1658851068.445629,8492,-78.28296661376953
1658851080.507591,8810,-81.73450469970703
1658851102.063169,9299,-92.49222564697266
1658851111.612851,9442,-93.46284484863281
1658851114.4990761,9471,-88.94087982177734
1658851127.1959329,9655,-101.0930404663086
1658851145.441623,9912,-100.1520767211914
1658851161.563345,10159,-104.27720642089844
1658851165.583343,10219,-121.48705291748047
1658851165.889421,10240,-103.60340118408203
1658851175.915722,10361,-117.74776458740234
1658851193.178957,10643,-132.59002685546875
1658851205.065503,10810,-126.38922119140625
1658851205.4125981,10834,-119.93435668945312
1658851570.314888,11177,-140.19100952148438
1658851580.007756,11321,-139.36187744140625
1658851599.983604,11610,-137.6254425048828
1658851606.7112808,11723,-140.34715270996094
1658851628.193162,12027,-137.96588134765625
1658851689.35183,12659,-137.66600036621094
1658851689.921466,12695,-149.57199096679688
1658851705.319353,12823,-145.31326293945312
1658851708.5614898,12869,-157.7997589111328
1658851713.0294669,12921,-150.02658081054688
1658851713.403529,12944,-155.27435302734375
1658851716.916477,12979,-143.84005737304688
1658851725.5097249,13061,-155.54566955566406
1658851734.397111,13190,-152.19937133789062
1658851738.462302,13246,-147.10948181152344
1658851759.70283,13527,-144.7582550048828
1658851782.5391319,13821,-157.3719940185547
1658851791.548491,13976,-148.28334045410156
1658851819.439283,14319,-158.79615783691406
1658851853.371059,14844,-164.2324676513672
1658852180.829312,15038,-168.4541473388672
1658852218.943079,15591,-171.5757598876953
1658852229.308387,15734,-183.48284912109375
1658852278.921859,16417,-247.8560791015625
1658852312.5385869,16909,-258.8888244628906
1658852319.6767108,17043,-233.86871337890625
1658852323.23645,17100,-247.1824951171875
1658852333.0149062,17208,-247.6449737548828
1658852333.1183722,17215,-215.27679443359375
1658852333.353707,17231,-250.52120971679688
1658852347.211746,17438,-273.99578857421875
1658852347.2705421,17442,-263.73663330078125
1658852359.668244,17607,-315.76458740234375
1658852381.471958,17949,-278.9796447753906
1658852386.506321,18013,-284.0247497558594
1658852387.0563881,18050,-280.7184753417969
1658852412.646496,18407,-284.0338439941406
1658852419.4234428,18537,-380.8134460449219
1658852432.107904,18720,-341.3944396972656
1658852745.065294,19068,-356.3744812011719
1658852762.6872902,19315,-411.5172119140625
1658852766.97808,19392,-319.27996826171875
1658852777.079484,19521,-349.78656005859375
1658852780.666914,19600,-289.04583740234375
1658852787.40527,19656,-341.0926208496094
1658852787.583591,19668,-341.9266357421875
1658852801.2605472,19855,-366.43670654296875
1658852804.8040059,19901,-281.8807678222656
1658852809.27867,19969,-317.1943054199219
1658852812.637625,20031,-373.1016540527344
1658852825.872816,20207,-377.5962829589844
1658852829.649173,20291,-333.2903137207031
1658852832.2656991,20305,-384.2934875488281
1658852832.758358,20338,-309.2489929199219
1658852846.9890728,20545,-346.6040344238281
1658852851.914591,20607,-389.0008850097656
1658852875.691264,20977,-388.5050048828125
1658852891.094332,21215,-370.4892883300781
1658852891.469324,21240,-361.28533935546875
1658852902.277195,21363,-385.6664123535156
1658852902.437118,21372,-428.6467590332031
1658852922.471261,21695,-317.0813293457031
1658852942.076726,21963,-337.74749755859375
1658852952.17061,22122,-417.0273132324219
1658852952.379339,22136,-358.9327392578125
1658852963.645076,22265,-392.581298828125
1658853317.613114,23126,-403.4700012207031
1658853336.368504,23385,-416.80926513671875
1658853385.8662531,24100,-428.382568359375
1658853396.8098292,24224,-379.3290710449219
1658853405.837364,24342,-419.65069580078125
1658853416.21712,24478,-409.7154235839844
1658853419.820351,24532,-348.0648193359375
1658853419.927347,24539,-465.8681335449219
1658853429.219887,24676,-417.05584716796875
1658853429.389909,24687,-377.2935791015625
1658853432.1694589,24715,-398.41851806640625
1658853432.531842,24739,-431.8008728027344
1658853460.743857,25076,-451.28570556640625
1658853460.804713,25080,-475.7090759277344
1658853472.807907,25236,-463.3731384277344
1658853488.368932,25450,-488.8506774902344
1658853491.9093041,25475,-444.8324279785156
1658853502.726812,25601,-483.2698974609375
1658853510.602543,25735,-498.7145690917969
1658853510.740586,25743,-406.8833312988281
1658853546.117475,26212,-443.0140686035156
1658853568.501121,26504,-512.8975830078125
1658853571.92544,26562,-460.4145202636719
1658853581.053306,26717,-449.6476135253906
1658853588.861721,26831,-413.56890869140625
1658853883.858091,27099,-416.033447265625
1658853887.3119922,27128,-454.8853759765625
1658853899.099108,27275,-428.3882751464844
1658853931.733471,27642,-459.976318359375
1658853990.098119,28337,-452.09014892578125
1658854015.420682,28647,-498.2801818847656
1658854029.679453,28839,-457.8905029296875
1658854032.9908328,28858,-464.84600830078125
1658854085.911556,29526,-464.0894775390625
1658854104.429708,29745,-455.6424865722656
1658854107.1982532,29776,-421.763916015625
1658854112.255095,29850,-420.664794921875
1658854120.355231,29927,-412.802490234375
1658854125.2021902,29991,-443.56475830078125
1658854141.6336849,30194,-456.277099609375
1658854174.30237,30508,-436.9164733886719
1658854186.07501,30674,-408.53765869140625
1658854199.594252,30876,-480.3305969238281
1658854203.0025861,30943,-417.18585205078125
1658854206.1457942,30993,-452.57891845703125
1658854535.8934772,31131,-421.9573059082031
1658854539.944811,31189,-444.83282470703125
1658854559.272348,31413,-441.9887390136719
1658854562.640148,31463,-422.4948425292969
1658854570.3164039,31561,-445.8120422363281
1658854583.7114089,31729,-475.5903015136719
1658854611.209492,32057,-441.1651306152344
1658854611.288807,32062,-454.125732421875
1658854611.8949802,32094,-458.9673156738281
1658854619.072948,32151,-437.418212890625
1658854644.2655292,32456,-432.4487609863281
1658854653.857664,32574,-454.1507873535156
1658854675.831309,32897,-429.0648498535156
1658854686.8041542,33044,-390.0477294921875
1658854691.1693,33093,-466.9323425292969
1658854694.495847,33105,-443.6882019042969
1658854700.829277,33194,-390.2643737792969
1658854711.625855,33276,-438.2933654785156
1658854729.5810199,33513,-416.8328857421875
1658854734.09132,33558,-442.4405517578125
1658854767.330754,34064,-439.6593017578125
1658854767.6001768,34082,-416.519775390625
1658854767.6448798,34085,-421.7847595214844
1658854782.223441,34264,-403.29449462890625
1658854828.540718,34841,-416.7010192871094
1658854835.817894,34947,-413.0793762207031
1658855180.694409,35219,-394.1760559082031
1658855180.747415,35222,-430.9246826171875
1658855181.162766,35237,-408.8514709472656
1658855206.580296,35547,-405.66015625
1658855238.137599,35938,-423.3363342285156
1658855263.743198,36259,-433.52984619140625
1658855281.5704708,36475,-365.0919494628906
1658855284.927756,36510,-409.3543701171875
1658855284.975468,36511,-417.2236022949219
1658855285.07643,36512,-416.5906982421875
1658855299.210512,36684,-395.7671203613281
1658855306.369623,36760,-388.8252258300781
1658855319.94085,36949,-388.150390625
1658855337.599375,37157,-425.54620361328125
1658855354.24673,37378,-392.2607421875
1658855358.881512,37439,-386.6952819824219
1658855387.2802079,37806,-363.82098388671875
1658855387.885658,37833,-377.626708984375
1658855397.275288,37906,-363.54754638671875
1658855401.3943172,37986,-365.6967468261719
1658855405.168273,38025,-394.318115234375
1658855426.327289,38295,-389.1301574707031
1658855453.991874,38667,-378.7876281738281
1658855456.98096,38706,-379.03265380859375
1658855471.151089,38915,-363.6442565917969
1658855864.338482,39043,-356.4200744628906
1658855879.135537,39084,-367.76983642578125
1658855968.481347,39635,-370.47674560546875
1658856013.396971,40097,-364.0113220214844
1658856016.2055302,40106,-326.2585144042969
1658856036.473669,40353,-340.783935546875
1658856036.611564,40362,-359.9972229003906
1658856064.3508239,40707,-358.9705505371094
1658856106.4447172,41207,-356.89312744140625
1658856126.81756,41531,-331.57928466796875
1658856129.103401,41572,-316.7904052734375
1658856204.634416,42000,-324.5364990234375
1658856272.2624571,42568,-315.90252685546875
1658856275.014272,42635,-325.8697204589844
1658856276.256632,42654,-312.2603759765625
1658856276.643523,42677,-314.9671936035156
1658856714.076532,43050,-307.8410339355469
1658856745.841333,43284,-315.6358642578125
1658856789.406977,43583,-291.41229248046875
1658856835.613673,44003,-307.328857421875
1658856853.834393,44189,-294.25628662109375
1658856853.913603,44193,-302.62042236328125
1658856853.951297,44195,-292.5216064453125
1658856878.255834,44367,-289.4834899902344
1658856923.2692668,44749,-287.1943664550781
1658857092.005919,46036,-282.6044006347656
1658857095.8927848,46088,-262.5851745605469
1658857113.4412,46362,-261.66156005859375
1658857113.6206489,46374,-256.61767578125
1658857138.3575659,46772,-251.8949432373047
1658857147.778545,46902,-248.56130981445312
1658857335.333778,47103,-243.60791015625
1658857338.410797,47160,-268.9429931640625
1658857350.876808,47385,-256.379638671875
1658857377.3188381,47801,-234.99594116210938
1658857387.018399,47968,-234.64869689941406
1658857408.256135,48256,-231.04029846191406
1658857429.034691,48508,-234.75723266601562
1658857462.371818,48941,-221.53485107421875
1658857481.1603148,49154,-212.71954345703125
1658857503.9268138,49602,-215.84446716308594
1658857512.677521,49726,-208.4446258544922
1658857522.8138828,49831,-221.56167602539062
1658857587.83395,50553,-211.169921875
1658857615.712512,50987,-188.46981811523438
1658858034.246167,51112,-194.03732299804688
1658858050.0258482,51342,-209.21844482421875
1658858050.080114,51345,-199.15057373046875
1658858068.25348,51570,-184.83773803710938
1658858068.566607,51591,-193.0498046875
1658858071.810573,51605,-190.49032592773438
1658858075.419747,51653,-197.80853271484375
1658858085.2736268,51755,-188.87327575683594
1658858105.7847831,52088,-190.2391815185547
1658858107.984709,52103,-196.74041748046875
1658858111.263392,52159,-193.72804260253906
1658858127.760233,52421,-204.0655517578125
1658858130.525394,52472,-179.1244659423828
1658858130.772952,52488,-195.98605346679688
1658858149.956557,52785,-187.94314575195312
1658858153.461938,52849,-190.72445678710938
1658858179.218324,53288,-176.90045166015625
1658858193.0020769,53506,-207.03265380859375
1658858203.2315378,53692,-175.43911743164062
1658858212.925097,53844,-182.55885314941406
1658858227.5034702,54100,-179.71939086914062
1658858229.362279,54108,-191.7549285888672
1658858249.797594,54478,-175.97657775878906
1658858250.052348,54495,-178.2342529296875
1658858266.731519,54752,-150.7104949951172
1658861289.811882,55094,-177.21078491210938
1658861292.97973,55140,-181.62890625
1658861302.657975,55285,-170.72146606445312
1658861307.252943,55323,-176.69017028808594
1658861310.7311628,55354,-159.9530792236328
1658861310.963446,55366,-178.5714874267578
1658861322.680413,55557,-160.6090850830078
1658861323.141024,55588,-169.5627899169922
1658861330.754165,55704,-165.15194702148438
1658861336.278204,55831,-180.55789184570312
1658861338.6300821,55874,-175.13929748535156
1658861340.5501351,55915,-149.10525512695312
1658861353.2915862,56101,-161.2527313232422
1658861360.5316648,56234,-180.4361572265625
1658861363.7349162,56287,-179.66415405273438
1658861366.856529,56340,-171.24485778808594
1658861369.774123,56381,-175.68943786621094
1658861398.4401689,56838,-185.0266571044922
1658861401.6977012,56897,-150.1060791015625
1658861415.089001,57125,-148.5983123779297
1658861434.9817758,57461,-174.1206512451172
1658861435.548602,57499,-164.5196533203125
1658861441.316132,57595,-157.95814514160156
1658861443.966549,57616,-176.97772216796875
1658861453.116244,57789,-154.39991760253906
1658861461.272743,57912,-161.47312927246094
1658861476.462177,58188,-175.3696746826172
1658861479.4966972,58220,-141.50828552246094
1658861527.262285,58937,-153.6905517578125
1658861529.961011,58962,-148.96652221679688
1658861717.5187998,59028,-137.8046417236328
1658861721.5448818,59061,-143.81300354003906
1658861721.758612,59073,-143.00877380371094
1658861726.305294,59130,-146.83154296875
1658861732.6960151,59232,-151.83482360839844
1658861732.863635,59241,-155.90542602539062
1658861739.293014,59329,-156.8079071044922
1658861742.0500321,59386,-161.47982788085938
1658861772.745787,59938,-142.35678100585938
1658861776.513398,60010,-156.28387451171875
1658861785.2390761,60189,-155.62371826171875
1658861807.140676,60552,-157.8215789794922
1658861812.455909,60682,-164.3866424560547
1658861819.2118819,60824,-155.60841369628906
1658861865.065485,61524,-139.2136688232422
1658861872.013495,61703,-148.02285766601562
1658861879.8207428,61890,-151.9654083251953
1658861894.6105332,62139,-143.4201202392578
1658861896.962568,62151,-139.12147521972656
1658861900.6986282,62221,-154.711669921875
1658861901.090301,62247,-163.11167907714844
1658861917.351719,62587,-149.8185577392578
1658862196.435179,63054,-158.62205505371094
1658862202.496063,63166,-157.55320739746094
1658862222.2743309,63508,-154.38961791992188
1658862228.919512,63635,-149.44480895996094
1658862231.6865401,63659,-139.73829650878906
1658862253.788831,64013,-139.1416015625
1658862272.5670679,64357,-161.09017944335938
1658862296.610069,64747,-157.78256225585938
1658862299.624613,64785,-145.6293487548828
1658862326.012592,65213,-146.6788330078125
1658862329.311488,65286,-138.2210235595703
1658862365.11234,65885,-141.70062255859375
1658862377.5612092,66088,-151.76260375976562
1658862380.4526699,66132,-155.40562438964844
1658862392.728073,66344,-141.48239135742188
1658862410.471061,66620,-125.4471664428711
1658862410.682322,66633,-146.22735595703125
1658862565.265116,67107,-133.99391174316406
1658862570.593399,67210,-133.74835205078125
1658862598.063383,67690,-137.41786193847656
1658862648.790719,68539,-129.7332305908203
1658862658.10715,68661,-133.3913116455078
1658862660.4426932,68728,-139.85943603515625
1658862660.7880151,68750,-138.04425048828125
1658862663.909029,68831,-138.1033172607422
1658862674.681364,69029,-138.8387451171875
1658862683.0565739,69178,-149.79542541503906
1658862705.448353,69526,-140.7264862060547
1658862729.1253052,69890,-123.65060424804688
1658862776.515924,70316,-119.11725616455078
1658862777.5070238,70349,-127.09113311767578
1658862808.608758,70916,-116.16831970214844
1658862811.2734258,70970,-128.8164520263672
1658863084.3257668,71408,-122.1502456665039
1658863118.4977002,72083,-127.30824279785156
1658863118.5142999,72084,-125.38880157470703
1658863163.451713,72731,-111.69146728515625
1658863200.36253,73250,-129.76458740234375
1658863207.263964,73301,-109.99482727050781
1658863225.846787,73494,-130.7086639404297
1658863231.1590059,73505,-124.0096664428711
1658863238.516306,73590,-114.40869140625
1658863243.375299,73640,-112.39297485351562
1658863278.4305952,73995,-122.84176635742188
1658863282.17132,74054,-113.62738037109375
1658863289.462394,74251,-131.57464599609375
1658863299.697676,74506,-111.00033569335938
1658863308.669935,74728,-122.46087646484375
1658863533.096967,75021,-108.55999755859375
1658863539.60523,75147,-116.54349517822266
1658863551.536383,75385,-105.6512222290039
1658863551.6961842,75395,-113.98737335205078
1658863571.689687,75823,-117.79924011230469
1658863579.200723,75997,-109.96295928955078
1658863583.1674602,76062,-120.24287414550781
1658863588.2596831,76193,-118.37094116210938
1658863590.633717,76246,-107.67858123779297
1658863592.345546,76272,-98.53695678710938
1658863601.418786,76468,-109.2098617553711
1658863611.357119,76677,-106.24190521240234
1658863618.617065,76790,-117.93529510498047
1658863630.281482,76922,-108.18627166748047
1658863655.357287,77258,-114.49888610839844
1658863678.5006862,77640,-109.01974487304688
1658863692.3609412,77914,-113.1113052368164
1658863702.851994,78128,-112.92608642578125
1658863702.934062,78133,-107.9680404663086
1658863721.997836,78433,-107.360107421875
1658863728.180895,78506,-110.44808959960938
1658864043.879947,79047,-105.1001205444336
1658864054.633976,79244,-98.3887710571289
1658864070.862869,79354,-95.82738494873047
1658864138.33169,80501,-108.36320495605469
1658864142.859863,80602,-102.82372283935547
1658864145.5925262,80681,-106.05982208251953
1658864166.377524,81107,-103.48279571533203
1658864205.374836,81788,-106.26785278320312
1658864211.220944,81855,-95.05945587158203
1658864211.303794,81860,-109.91724395751953
1658864211.4189482,81867,-101.1216812133789
1658864232.188811,82258,-105.15779113769531
1658864241.424036,82424,-108.24671936035156
1658864253.239087,82642,-103.45055389404297
1658864259.438571,82734,-98.56571960449219
1658864545.79394,83368,-103.2410659790039
1658864578.923606,84052,-93.4433364868164
1658864586.0753741,84211,-99.98092651367188
1658864615.180198,84838,-101.3220443725586
1658864619.6048698,84922,-98.8039779663086
1658864624.822311,85044,-102.6122817993164
1658864626.873259,85090,-89.30343627929688
1658864637.923928,85329,-99.29995727539062
1658864640.161626,85379,-101.01531982421875
1658864642.784729,85437,-91.07861328125
1658864644.936277,85473,-105.0754165649414
1658864694.602985,86525,-85.02716827392578
1658864699.1821492,86615,-93.68367004394531
1658864897.74272,87065,-98.13068389892578
1658864913.505389,87408,-97.4294662475586
1658864917.8773508,87502,-86.6572036743164
1658864920.7464142,87592,-97.78177642822266
1658864924.995917,87666,-91.99085998535156
1658864927.729192,87730,-101.39268493652344
1658864937.318136,87926,-96.66462707519531
1658864942.106247,88018,-84.21878051757812
1658864946.9628348,88111,-92.57994842529297
1658864952.0928562,88246,-100.16099548339844
1658864975.789234,88725,-92.22994232177734
1658864977.8408608,88754,-91.5812759399414
1658864980.273611,88813,-98.05290222167969
1658864989.747993,89021,-96.89970397949219
1658864990.2351942,89050,-91.50895690917969
1658865008.816997,89418,-95.34150695800781
1658865015.5303512,89552,-91.01213073730469
1658865016.1965451,89590,-88.01590728759766
1658865018.6834838,89640,-95.87420654296875
1658865035.050977,89960,-91.362548828125
1658865052.117414,90338,-89.83785247802734
1658865054.6861088,90397,-102.05204772949219
1658865073.561218,90776,-92.65391540527344
1658865246.3616982,91102,-88.82764434814453
1658865249.513943,91198,-89.77262878417969
1658865277.0733922,91767,-89.3019027709961
1658865313.77032,92554,-83.80529022216797
1658865316.3062558,92619,-78.31826782226562
1658865316.8394701,92645,-86.12138366699219
1658865323.324049,92773,-97.28013610839844
1658865326.0034509,92837,-93.50190734863281
1658865335.47129,93006,-90.21501159667969
1658865349.8412669,93321,-84.76219940185547
1658865357.5145779,93486,-93.1177749633789
1658865359.632962,93518,-81.75286102294922
1658865371.583319,93758,-72.95809936523438
1658865376.8714628,93891,-86.54090118408203
1658865379.291883,93934,-90.18561553955078
1658865398.3680809,94350,-88.3592758178711
1658865410.0148108,94568,-87.39067077636719
1658865425.363542,94899,-92.30049133300781
1658865602.23526,95041,-84.21427917480469
1658865609.394228,95197,-86.24037170410156
1658865611.1848269,95214,-90.10877990722656
1658865652.323324,96071,-80.99652862548828
1658865664.5327601,96324,-85.49459075927734
1658865678.827573,96644,-86.8254623413086
1658865680.900639,96678,-92.4389877319336
1658865681.202541,96696,-85.84957122802734
1658865683.075441,96717,-92.67543029785156
1658865690.761445,96893,-89.52381896972656
1658865697.470324,97035,-87.2271499633789
1658865702.235768,97149,-79.90644073486328
1658865703.90022,97157,-87.49040222167969
1658865706.1764202,97201,-89.13597869873047
1658865713.326365,97356,-85.02810668945312
1658865718.1517382,97469,-80.85494995117188
1658865722.584307,97553,-83.61048126220703
1658865727.617882,97669,-94.89197540283203
1658865732.141809,97763,-89.68319702148438
1658865734.504905,97815,-88.25365447998047
1658865736.8105652,97871,-85.39065551757812
1658865748.6454241,98119,-88.30016326904297
1658865751.15041,98168,-87.23448944091797
1658865763.501039,98446,-94.16691589355469
1658865778.377598,98741,-93.95710754394531
1658865782.2808719,98805,-94.88252258300781
1658865957.5633652,99100,-92.2425308227539
1658865959.7766101,99144,-82.5252914428711
1658865966.329452,99281,-83.03453826904297
1658865968.459463,99321,-82.52508544921875
1658865984.038469,99649,-91.4358139038086
1658865989.21104,99739,-88.9863510131836
1658865998.654203,99912,-80.74834442138672
1658866003.157381,100005,-88.95996856689453
1658866029.753964,100572,-79.92133331298828
1658866040.776511,100817,-91.38949584960938
1658866043.0244071,100866,-85.61167907714844
1658866045.3238962,100914,-83.60772705078125
1658866045.838208,100944,-86.98884582519531
1658866059.196992,101209,-84.61738586425781
1658866076.84043,101600,-83.45339965820312
1658866090.8154309,101881,-85.99047088623047
1658866092.640417,101904,-87.33324432373047
1658866104.515559,102168,-91.43135833740234
1658866109.03006,102254,-74.89061737060547
1658866121.231852,102550,-83.88856506347656
1658866133.932864,102803,-80.14897155761719
1658866445.4541461,103056,-86.45319366455078
1658866478.01563,103754,-89.57463073730469
1658866487.8308558,103964,-84.15838623046875
1658866488.001203,103974,-97.51063537597656
1658866506.633573,104357,-93.20423889160156
1658866506.923795,104371,-84.5289535522461
1658866538.415859,104889,-94.18832397460938
1658866544.2659001,104959,-81.70032501220703
1658866544.340493,104963,-94.09500122070312
1658866547.8134441,105028,-88.17329406738281
1658866547.921152,105033,-90.08145141601562
1658866552.939306,105109,-87.45405578613281
1658866559.2565372,105235,-76.37287902832031
